Istasyon,Tarih,PM10,SO2,CO,NO2,NOX,NO,O3
Fatih,11/7/2019,90.527079583333,6.0442822083333,1228.2798708333,89.749545416667,231.09104166667,141.34149166667
Fatih,11/8/2019,83.051173913043,5.860237875,1230.7810083333,92.3001925,235.94942916667,143.649230375
Fatih,11/9/2019,79.434932083333,5.2623767916667,1167.5323583333,76.8659075,196.80207875,119.936179625
Fatih,11/10/2019,78.914655416667,5.256612125,1155.7395666667,80.567885833333,184.16569375,103.59780295833
Fatih,11/11/2019,111.74995434783,6.4776844583333,1128.8891333333,93.839529583333,247.65342958333,153.813894625
Fatih,11/12/2019,99.635844583333,5.8979754166667,1078.69495,80.22955,199.17564166667,118.946094375
Fatih,11/13/2019,103.65079565217,5.123977125,1140.5499708333,74.766000833333,199.84340625,125.07740070833
Fatih,11/14/2019,108.97843041667,6.8984974782609,1340.1681782609,94.560895652174,268.54404956522,173.98315856522
Fatih,11/15/2019,111.00537166667,7.2068670833333,1362.9435083333,98.924238333333,271.37274333333,172.44850654167
Fatih,11/16/2019,96.488427083333,4.959699625,1202.9224375,72.334762083333,166.35434541667,94.019580333333
Fatih,11/17/2019,101.08962695652,4.3944312916667,997.03192083333,64.216480833333,132.4600175,68.243533708333
Fatih,11/18/2019,99.7619225,5.381345125,1140.4868791667,75.441602916667,195.30896,119.8673535
Fatih,11/19/2019,81.787652173913,4.7350269166667,999.9466875,67.239843333333,159.19610208333,91.956259208333
Fatih,11/20/2019,94.795592869565,5.4380477227273,1272.8498333333,71.075529130435,195.96591869565,124.89039630435
Fatih,11/21/2019,87.878903043478,5.484924125,1162.5332291667,65.965574166667,176.69910554167,110.73352432083
Fatih,11/22/2019,58.155304583333,4.696133125,939.82235833333,51.825485833333,111.4765675,59.651094625
Fatih,11/23/2019,78.71681,6.1047529583333,1415.2514625,67.809142916667,181.42503375,113.61588708333
Fatih,11/24/2019,85.407555416667,5.4637863333333,1250.1703791667,60.754969166667,154.52219625,93.767222958333
Fatih,11/25/2019,111.030115,8.6197265833333,1559.0394375,80.618099583333,255.14885916667,174.53076133333
Fatih,11/26/2019,134.81007291667,13.8124525,1871.3902791667,105.04380416667,316.99325625,211.94946370833
Fatih,11/27/2019,81.778323333333,7.3042635,1114.448025,78.6565275,145.42584208333,66.7693085
Fatih,11/28/2019,46.809131666667,5.3962249130435,918.48308695652,51.706530869565,83.484516726087,31.777985821739
Fatih,11/29/2019,99.77942125,10.878606041667,1538.9465708333,86.723788333333,260.2902891375,173.56649520833
Fatih,11/30/2019,54.775183043478,5.9477386666667,1136.8238583333,63.182098166667,149.8913127625,86.709213266667
Fatih,12/1/2019,38.272092083333,5.6832237083333,869.14812083333,57.295018333333,93.143548604167,35.848532291667
Fatih,12/2/2019,17.039993583333,4.8672480833333,548.37335833333,37.390482583333,49.415792704167,12.025311445833
Fatih,12/3/2019,54.059388833333,8.9229935416667,1224.826475,69.117447916667,196.92615327917,127.80870704167
Fatih,12/4/2019,39.048230416667,6.397225875,843.59669583333,59.3642525,101.768866375,42.40461575
Fatih,12/5/2019,22.486244291667,6.4226962083333,797.6357875,50.4099675,78.614184441667,28.2042164125
Fatih,12/6/2019,44.521849583333,8.4525806666667,1044.8833958333,60.26638375,133.41134271667,73.144962375
Fatih,12/7/2019,69.451181666667,7.799475,1338.0412833333,73.4286325,201.6161635,128.18753108333
Fatih,12/8/2019,67.668995,7.0634264166667,1220.1322958333,66.72530625,146.78096008333,80.055655083333
Fatih,12/9/2019,84.619565217391,8.7304815,1375.6099958333,80.627812083333,233.45727285833,152.82946258333
Fatih,12/10/2019,103.37182304348,10.952733041667,1782.5661583333,91.404337916667,299.8370442125,208.432704125
Fatih,12/11/2019,124.805145,15.466398083333,2097.0169916667,96.593657083333,321.94214410833,225.34848591667
Fatih,12/12/2019,99.752282916667,16.259406,1894.9432391304,97.581426956522,284.5535738913,186.97214565217
Fatih,12/13/2019,128.50627791667,18.883057916667,2249.6129166667,99.68709,305.80165747917,206.11456720833
Fatih,12/14/2019,96.503051666667,13.956920291667,1758.914025,97.995939166667,276.36012059167,178.36418108333
Fatih,12/15/2019,83.127996666667,11.952921083333,1505.5958333333,87.686352083333,234.2032183625,146.51686983333
Fatih,12/16/2019,42.374726916667,6.2952633333333,776.91640833333,51.042015,93.192198879167,42.150186366667
Fatih,12/17/2019,108.57115458333,10.8733585,1756.2280666667,87.537955833333,307.04249460417,219.50454633333
