Istasyon,Tarih,PM10,CO,NO2,NOX,NO
Besirli,1/30/2019,95.334882916667,977.28400833333,76.620399545455,160.44122859091,83.820831240909
Besirli,1/31/2019,61.303051666667,650.75330833333,65.7566375,106.14616407917,40.389524583333
Besirli,2/1/2019,41.178439583333,552.75625,62.734154541667,105.9499843875,43.2158334875
Besirli,2/2/2019,32.282161666667,641.05565,47.713774583333,69.900129645833,22.186357666667
Besirli,2/3/2019,48.334554583333,813.55366666667,51.701474166667,82.716125858333,31.014651758333
Besirli,2/4/2019,65.357279166667,945.36440833333,57.749505833333,99.793327308333,42.043821816667
Besirli,2/5/2019,62.446991666667,953.99162083333,60.33661375,112.89195846667,52.555342758333
Besirli,2/6/2019,72.815400416667,881.0131625,74.635395,156.241002,81.60560425
Besirli,2/7/2019,45.89002625,645.6750375,57.85751,90.448304216667,32.590795041667
Besirli,2/8/2019,39.60505125,523.80482916667,48.1018275,76.273429866667,28.171602958333
Besirli,2/9/2019,25.019398333333,482.16206666667,43.273374333333,66.23859885,22.965223529167
Besirli,2/10/2019,20.045319583333,565.61765833333,33.103377166667,49.679176408333,16.575798875
Besirli,2/11/2019,39.624969833333,770.17445833333,45.162216541667,83.3787148875,38.216499066667
Besirli,2/12/2019,48.211913478261,817.61485,56.367905416667,92.490228904167,36.122322291667
Besirli,2/13/2019,38.445190521739,509.96150416667,44.797424583333,70.800312070833,26.002888375
Besirli,2/14/2019,41.755591666667,501.99205416667,42.685837083333,63.5042547375,20.8184181875
Besirli,2/15/2019,28.629687272727,629.27202083333,47.685892916667,84.916381133333,37.2304918375
Besirli,2/16/2019,28.020729130435,549.080225,36.405616666667,61.789417591667,25.383801516667
Besirli,2/17/2019,32.24456625,535.5262,40.859051666667,55.634758158333,14.775705725
Besirli,2/18/2019,44.720353913043,615.61295833333,39.991980833333,62.805921425,22.813940025
Besirli,2/19/2019,33.190878333333,522.76053333333,36.98568225,58.041823158333,21.0561425625
Besirli,2/20/2019,53.413062083333,716.7822875,53.950029583333,85.42811185,31.478083529167
Besirli,2/21/2019,52.820563333333,621.41610416667,55.837789130435,86.363854682609,30.526066082609
Besirli,2/22/2019,76.74247625,778.2703625,66.027633333333,98.428511341667,32.400880008333
Besirli,2/23/2019,62.10127125,676.06157083333,60.034663043478,88.697055265217,28.662395656522
Besirli,2/24/2019,59.8408925,570.075575,46.023708333333,60.884778491667,14.86107075
Besirli,2/25/2019,26.487550434783,401.603025,39.02851325,53.936574633333,14.9080619375
Besirli,2/26/2019,33.5885975,552.86930869565,41.838756086957,65.192719604348,23.353965473913
Besirli,2/27/2019,22.579948695652,446.46355416667,40.021038826087,59.29967773913,19.278638934783
Besirli,2/28/2019,20.974352708333,464.07465416667,43.310640416667,67.0096905,23.699048916667
Besirli,3/1/2019,48.106844090909,808.6699375,65.837411363636,125.40950873182,59.572093663636
Besirli,3/2/2019,45.351832173913,670.87022916667,54.842388333333,86.323316508333,31.480929041667
Besirli,3/3/2019,27.165927375,540.86364583333,40.754515958333,56.088840995833,15.334324695833
Besirli,3/4/2019,46.79209125,756.89475,58.154802916667,97.425220595833,39.270419295833
Besirli,3/5/2019,66.25105875,928.49590833333,61.361624166667,111.33156100417,49.969932258333
Besirli,3/6/2019,44.448057916667,552.4527,64.510505833333,90.609249483333,26.098744816667
Besirli,3/7/2019,31.984828,451.05652916667,50.830378608696,74.4029503,23.57257266087
Besirli,3/8/2019,49.08980826087,765.2340125,68.366633458333,108.1227291625,39.756089554167
Besirli,3/9/2019,43.853714166667,725.66411666667,59.38247125,91.755201429167,32.372733208333
Besirli,3/10/2019,36.841111458333,634.30141666667,57.291240454545,77.024123881818,19.732883859091
Besirli,3/11/2019,52.65711,689.6521,70.683790416667,126.713534975,56.0297436125
Besirli,3/12/2019,76.85248125,746.25785416667,73.462099166667,144.26360379167,70.801496041667
Besirli,3/13/2019,44.713835833333,501.57499583333,60.27549375,94.999995966667,34.724498583333
Besirli,3/14/2019,20.579762541667,386.90309583333,40.480585666667,56.4876106875,16.007026120833
Besirli,3/15/2019,28.992742,581.70585416667,44.4144975,69.3688752,24.954377054167
Besirli,3/16/2019,24.671507083333,502.15239166667,47.68952,66.630175854167,18.940656841667
Besirli,3/17/2019,19.665754173913,540.207,44.877588333333,64.0616911375,19.1841018125
Besirli,3/18/2019,30.229557086957,599.48701666667,47.191122727273,66.389694995455,19.198570227273
Besirli,3/19/2019,40.996812916667,726.07933333333,59.927235,93.679153627273,33.751919618182
Besirli,3/20/2019,49.55457,634.95555,47.166134166667,69.100266983333,21.934133041667
Besirli,3/21/2019,51.119826666667,566.66544166667,49.950380909091,72.886797872727,22.936418513636
Besirli,3/22/2019,44.411060416667,600.18234583333,60.666570416667,91.183577066667,30.517003241667
Besirli,3/23/2019,45.939551666667,610.48135416667,46.772624583333,66.726223029167,19.95359905
Besirli,3/24/2019,17.459708173913,378.74020416667,42.718525263158,57.643224647368,14.924700210526
Besirli,3/25/2019,25.735637583333,490.91419166667,42.280446666667,65.376599790476,23.096154266667
Besirli,3/26/2019,29.86582826087,560.93004166667,43.4596725,68.094793935,24.6351248
Besirli,3/27/2019,28.894807391304,418.4211875,40.986819047619,57.310545566667,16.323725904762
Besirli,3/28/2019,33.58468375,484.8537,50.848447826087,74.474276978261,23.625829343478
Besirli,3/29/2019,32.365741666667,512.44789583333,58.350984736842,93.291630226316,34.940648315789
Besirli,3/30/2019,20.958280608696,437.98814583333,46.417333333333,66.843042638889,20.425709222222
Besirli,3/31/2019,20.919829333333,459.66059583333,39.941772631579,53.9937851,14.052011578947
Besirli,4/1/2019,41.221117916667,604.18307916667,50.33755173913,77.700029565217,27.362477652174
Besirli,4/2/2019,50.112326521739,792.15000833333,72.584724285714,113.42655405714,40.841828047619
Besirli,4/3/2019,44.201856666667,522.20547916667,40.377347727273,58.03655705,17.659209181818
Besirli,4/4/2019,51.93333375,595.62256666667,59.687186086957,84.595497713043,24.908313017391
Besirli,4/5/2019,49.856155833333,624.74618333333,45.475759583333,74.2628893375,28.78713125
Besirli,4/6/2019,49.624962608696,633.60180416667,46.383670416667,67.858225270833,21.474554841667
Besirli,4/7/2019,63.357727083333,853.32208333333,56.5980025,85.396166675,28.798166666667
Besirli,4/8/2019,60.521282916667,692.55392083333,58.213625,85.7546540875,27.54102875
Besirli,4/9/2019,73.9061375,793.43517916667,69.955899583333,127.54806761667,57.592165416667
Besirli,4/10/2019,45.635452083333,479.89824583333,57.263889166667,81.952309533333,24.688419908333
Besirli,4/11/2019,50.3405,495.7071875,61.812141428571,96.905744661905,35.093605666667
