Istasyon,Tarih,PM10,SO2,NO2,NOX,NO,O3
Uzungol,1/30/2019,,2.4484511666667,5.8187209166667,8.060523125,2.2418025416667,67.064194583333
Uzungol,1/31/2019,,3.2278489583333,6.305961125,8.3961734833333,2.09021225,66.806664583333
Uzungol,2/1/2019,,2.1911933478261,6.1506319130435,8.2062511913043,2.0556193043478,57.691903333333
Uzungol,2/2/2019,,1.777690375,5.6956704583333,8.0078399833333,2.31216975,43.619733333333
Uzungol,2/3/2019,,1.6024407916667,4.3304057083333,6.5206819,2.1902761666667,51.048805416667
Uzungol,2/4/2019,,1.91188375,4.006464875,6.1163167333333,2.109851875,54.867505416667
Uzungol,2/5/2019,,1.85811925,3.8792544166667,5.8697370625,1.9904825833333,51.020019583333
Uzungol,2/6/2019,,1.9799845416667,4.1641380833333,6.1706001458333,2.0064620416667,59.665665
Uzungol,2/7/2019,,2.5665694583333,5.4938117916667,7.4845908041667,1.990779,63.590769166667
Uzungol,2/8/2019,,3.2754383333333,6.4570592916667,8.7184129875,2.2613536666667,61.946789583333
Uzungol,2/9/2019,,1.9318382916667,7.642007375,9.7572759875,2.1152685833333,36.453306666667
Uzungol,2/10/2019,,1.6965199166667,5.9753625,8.0738426208333,2.09848,38.845146666667
Uzungol,2/11/2019,,1.4536677083333,4.04749175,6.1174106458333,2.069919,36.949605833333
Uzungol,2/12/2019,,1.4081592083333,2.8530339166667,4.7267623291667,1.8737284583333,56.432988333333
Uzungol,2/13/2019,,1.9776501666667,4.2814764583333,6.2745526083333,1.9930763333333,54.19206125
Uzungol,2/14/2019,,1.7565213333333,5.7864548333333,7.7988763541667,2.0124215416667,52.834691666667
Uzungol,2/15/2019,,1.9306124347826,7.0233996086957,9.1212835956522,2.0978837826087,39.779782916667
Uzungol,2/16/2019,,1.8167885833333,6.861020375,9.5004339458333,2.6394136666667,38.334179208333
Uzungol,2/17/2019,,1.7493105,5.9134540833333,8.04294905,2.1294949583333,53.6107225
Uzungol,2/18/2019,,1.5406859166667,5.0972943333333,7.1842067541667,2.0869124583333,37.874954583333
Uzungol,2/19/2019,,1.6004042083333,5.3145827083333,7.4392662166667,2.1246834583333,60.02014625
Uzungol,2/20/2019,,1.263325125,2.94534,4.7425813333333,1.79724125,58.765258333333
Uzungol,2/21/2019,,1.6687534583333,4.4369880416667,6.4740032875,2.03701525,61.6695475
Uzungol,2/22/2019,,1.7908109166667,6.0285609166667,8.3220424416667,2.2934815416667,50.86652875
Uzungol,2/23/2019,,1.7034809583333,5.4440112916667,7.6514551125,2.2074439166667,61.587887916667
Uzungol,2/24/2019,,1.7135020833333,7.6746544583333,9.9486694458333,2.2740149583333,45.167746666667
Uzungol,2/25/2019,,1.5152302173913,7.1860399565217,9.3786608217391,2.1926209130435,48.7411
Uzungol,2/26/2019,,1.3565975833333,5.3586464166667,7.6500307,2.2913842916667,47.424829166667
Uzungol,2/27/2019,,1.5336914166667,5.09429625,7.16864105,2.074344625,72.298344166667
Uzungol,2/28/2019,,1.6076775416667,5.518697125,7.5511661833333,2.0324690416667,69.6029625
Uzungol,3/1/2019,,3.421971173913,4.579625375,7.1331760608696,2.5039415652174,62.645014583333
Uzungol,3/2/2019,,3.317168625,4.9131317916667,7.1409208708333,2.2277891666667,67.935670416667
Uzungol,3/3/2019,,3.478348125,6.9763901666667,9.2394419791667,2.2630515416667,71.028069166667
Uzungol,3/4/2019,,3.458361,4.3370217916667,6.5918811375,2.254859375,58.089041666667
Uzungol,3/5/2019,,3.1709905416667,3.030001375,5.0079657333333,1.97796425,69.737554583333
Uzungol,3/6/2019,,3.5253267916667,3.7420691666667,5.7707636166667,2.0286944583333,70.656240833333
Uzungol,3/7/2019,,3.3585604166667,3.897414125,5.901556275,2.0041421666667,78.652301666667
Uzungol,3/8/2019,,3.0708952916667,3.33928375,5.7496083125,2.4103246666667,68.556087083333
Uzungol,3/9/2019,,3.1846529583333,2.8101446666667,4.8185824375,2.00843775,88.108432083333
Uzungol,3/10/2019,,3.491784375,4.8891924583333,7.2345633791667,2.3453707916667,80.819486666667
Uzungol,3/11/2019,,3.5866395,4.2949903333333,6.3669894416667,2.0719990833333,67.495644166667
Uzungol,3/12/2019,,4.2021102916667,5.9879265833333,8.22117845,2.2332518333333,77.233628333333
Uzungol,3/13/2019,,,,,,
Uzungol,3/14/2019,,,,,,
Uzungol,3/15/2019,,,,,,
Uzungol,3/16/2019,,,,,,
Uzungol,3/17/2019,,,,,,
Uzungol,3/18/2019,,,,,,
Uzungol,3/19/2019,,,,,,
Uzungol,3/20/2019,,,,,,
Uzungol,3/21/2019,,,,,,
Uzungol,3/22/2019,,,,,,
Uzungol,3/23/2019,,,,,,
Uzungol,3/24/2019,,,,,,
Uzungol,3/25/2019,,,,,,
Uzungol,3/26/2019,,,,,,
Uzungol,3/27/2019,,,,,,
Uzungol,3/28/2019,,,,,,
Uzungol,3/29/2019,,,,,,
Uzungol,3/30/2019,,,,,,
Uzungol,3/31/2019,,,,,,
Uzungol,4/1/2019,,,,,,
Uzungol,4/2/2019,,,,,,
Uzungol,4/3/2019,,,,,,
Uzungol,4/4/2019,,,,,,
